Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_32,VGND,li1,20.4700,43.5200,0.000008
FILLER_12_29,VGND,li1,19.5500,43.5200,0.000008
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000008
FILLER_12_12,VGND,li1,11.5000,43.5200,0.000008
FILLER_12_9,VGND,li1,10.3500,43.5200,0.000008
FILLER_12_6,VGND,li1,8.9700,43.5200,0.000008
FILLER_12_3,VGND,li1,7.5900,43.5200,0.000008
FILLER_11_113,VGND,li1,58.1900,43.5200,0.000019
FILLER_11_104,VGND,li1,53.5900,43.5200,0.000019
FILLER_11_101,VGND,li1,52.6700,43.5200,0.000018
FILLER_11_98,VGND,li1,51.2900,43.5200,0.000018
FILLER_11_79,VGND,li1,42.3200,43.5200,0.000017
FILLER_11_57,VGND,li1,32.2000,43.5200,0.000013
FILLER_11_54,VGND,li1,30.8200,43.5200,0.000012
FILLER_11_51,VGND,li1,29.6700,43.5200,0.000012
FILLER_11_48,VGND,li1,28.2900,43.5200,0.000010
FILLER_11_45,VGND,li1,26.9100,43.5200,0.000009
FILLER_11_42,VGND,li1,25.5300,43.5200,0.000009
FILLER_11_39,VGND,li1,24.1500,43.5200,0.000008
FILLER_11_36,VGND,li1,22.7700,43.5200,0.000008
FILLER_11_33,VGND,li1,21.3900,43.5200,0.000008
FILLER_11_30,VGND,li1,20.0100,43.5200,0.000008
FILLER_11_27,VGND,li1,18.6300,43.5200,0.000008
FILLER_11_24,VGND,li1,17.2500,43.5200,0.000008
FILLER_11_21,VGND,li1,15.8700,43.5200,0.000008
FILLER_11_18,VGND,li1,14.4900,43.5200,0.000008
FILLER_11_15,VGND,li1,13.1100,43.5200,0.000008
FILLER_11_12,VGND,li1,11.7300,43.5200,0.000008
FILLER_11_9,VGND,li1,10.3500,43.5200,0.000008
FILLER_11_6,VGND,li1,8.9700,43.5200,0.000008
FILLER_10_126,VGND,li1,63.7100,38.0800,0.000027
FILLER_10_123,VGND,li1,62.7900,38.0800,0.000027
FILLER_10_120,VGND,li1,61.4100,38.0800,0.000027
FILLER_10_117,VGND,li1,60.0300,38.0800,0.000027
FILLER_10_114,VGND,li1,58.6500,38.0800,0.000027
FILLER_10_55,VGND,li1,31.5100,38.0800,0.000019
FILLER_10_52,VGND,li1,30.1300,38.0800,0.000017
FILLER_10_49,VGND,li1,28.7500,38.0800,0.000017
FILLER_10_41,VGND,li1,25.0700,38.0800,0.000012
FILLER_10_38,VGND,li1,23.6900,38.0800,0.000012
FILLER_10_35,VGND,li1,22.3100,38.0800,0.000012
FILLER_10_32,VGND,li1,20.9300,38.0800,0.000012
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000012
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000013
FILLER_10_24,VGND,li1,17.2500,38.0800,0.000013
FILLER_10_21,VGND,li1,15.8700,38.0800,0.000013
FILLER_10_18,VGND,li1,14.4900,38.0800,0.000013
FILLER_10_15,VGND,li1,13.1100,38.0800,0.000013
FILLER_10_12,VGND,li1,11.7300,38.0800,0.000013
FILLER_10_9,VGND,li1,10.3500,38.0800,0.000013
FILLER_10_6,VGND,li1,8.9700,38.0800,0.000013
FILLER_10_3,VGND,li1,7.5900,38.0800,0.000013
FILLER_9_125,VGND,li1,63.4800,38.0800,0.000027
FILLER_9_122,VGND,li1,62.3300,38.0800,0.000027
FILLER_9_119,VGND,li1,60.9500,38.0800,0.000027
FILLER_9_116,VGND,li1,59.5700,38.0800,0.000027
FILLER_9_113,VGND,li1,58.1900,38.0800,0.000027
